index,PassedTime,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DiffDistance,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
9295,0.0,1619097178.90,0,0.484728234,5.00,,,-86.604068,36.0001385,,,0,0,0,0,0,25518.79832,-25444.49832,270,,TRUE
9296,0.1,1619097179.00,1.352224529,0.498735975,5.00,,,-86.6040683,36.0001385,,,0,0,0,0,0.026987528,25518.82531,-25444.52531,0,,TRUE
9297,0.2,1619097179.10,1.451854686,0.507515047,5.00,,,-86.6040683,36.0001385,,,0,0,0,0,0.026987528,25518.82531,-25444.52531,312.8321379,West,TRUE
9298,0.3,1619097179.20,1.570344301,0.51236516,5.00,,,-86.6040687,36.0001388,,,0,0,0,0,0.076054737,25518.87438,-25444.57438,270,,TRUE
9299,0.4,1619097179.30,1.707874732,0.51435582,5.00,,,-86.6040688,36.0001388,,,0,0,0,0,0.085050579,25518.88337,-25444.58337,321.0266028,West,TRUE
9300,0.5,1619097179.40,1.82575059,0.514302546,5.00,,,-86.6040692,36.0001392,,,0,0,0,0,0.142261531,25518.94058,-25444.64058,270,,TRUE
9301,0.6,1619097179.50,1.957085888,0.51277186,5.00,,,-86.6040693,36.0001392,,,0,0,0,0,0.151257373,25518.94958,-25444.64958,306.5621873,West,TRUE
9302,0.7,1619097179.60,2.095722214,0.510113544,5.00,,,-86.6040698,36.0001395,,,0,0,0,0,0.207256638,25519.00558,-25444.70558,321.0266032,West,TRUE
9303,0.8,1619097179.70,2.22586115,0.506508899,5.00,,,-86.60407,36.0001397,,,0,0,0,0,0.235862113,25519.03418,-25444.73418,321.0266012,West,TRUE
9304,0.9,1619097179.80,2.338176011,0.502024649,5.00,,,-86.6040703,36.00014,,,0,0,0,0,0.278770326,25519.07709,-25444.77709,321.0266029,West,TRUE
9305,1.0,1619097179.90,2.468047588,0.496667365,5.00,,,-86.6040705,36.0001402,,,0,0,0,0,0.3073758,25519.1057,-25444.8057,306.562188,West,TRUE
9306,1.1,1619097180.00,2.587026173,0.490424341,5.00,,,-86.604071,36.0001405,,,0,0,0,0,0.363375065,25519.1617,-25444.8617,321.0266018,West,TRUE
9307,1.2,1619097180.10,2.687187815,0.483297374,5.00,,,-86.6040713,36.0001408,,,0,0,0,0,0.406283277,25519.20461,-25444.90461,314.678967,West,TRUE
9308,1.3,1619097180.20,2.796846239,0.475314462,5.00,,,-86.6040718,36.0001412,,,0,0,0,0,0.469540051,25519.26786,-25444.96786,287.1720668,West,TRUE
9309,1.4,1619097180.30,2.906982049,0.466537371,5.00,,,-86.6040722,36.0001413,,,0,0,0,0,0.507202314,25519.30552,-25445.00552,314.6789675,West,TRUE
9310,1.5,1619097180.40,2.998268339,0.457048928,5.00,,,-86.6040727,36.0001417,,,0,0,0,0,0.570459087,25519.36878,-25445.06878,306.5621885,West,TRUE
9311,1.6,1619097180.50,3.097263997,0.44694519,5.00,,,-86.6040732,36.000142,,,0,0,0,0,0.626458351,25519.42478,-25445.12478,315.8483006,West,TRUE
9312,1.7,1619097180.60,3.197148596,0.436313914,5.00,,,-86.6040738,36.0001425,,,0,0,0,0,0.703946313,25519.50227,-25445.20227,296.3090855,West,TRUE
9313,1.8,1619097180.70,3.295936091,0.425226312,5.00,,,-86.6040743,36.0001427,,,0,0,0,0,0.754123021,25519.55245,-25445.25245,321.0266032,West,TRUE
9314,1.9,1619097180.80,3.393251147,0.413720832,5.00,,,-86.6040748,36.0001432,,,0,0,0,0,0.825636708,25519.62396,-25445.32396,311.4415201,West,TRUE
9315,2.0,1619097180.90,3.475829025,0.401803816,5.00,,,-86.6040755,36.0001437,,,0,0,0,0,0.909639158,25519.70796,-25445.40796,311.4415198,West,TRUE
9316,2.1,1619097181.00,3.564433088,0.389444715,5.00,,,-86.6040762,36.0001442,,,0,0,0,0,0.993641606,25519.79196,-25445.49196,315.8483025,West,TRUE
9317,2.2,1619097181.10,3.643444231,0.376586516,5.00,,,-86.6040768,36.0001447,,,0,0,0,0,1.071129568,25519.86945,-25445.56945,283.8859096,West,TRUE
9318,2.3,1619097181.20,3.723383621,0.363150828,5.00,,,-86.6040773,36.0001448,,,0,0,0,0,1.117462843,25519.91579,-25445.61579,313.8722169,West,TRUE
9319,2.4,1619097181.30,3.802453878,0.349053392,5.00,,,-86.6040782,36.0001455,,,0,0,0,0,1.229772469,25520.02809,-25445.72809,307.6876623,West,TRUE
9320,2.5,1619097181.40,3.885857238,0.334213911,5.00,,,-86.604079,36.000146,,,0,0,0,0,1.320713598,25520.11904,-25445.81904,321.0266049,West,TRUE
9321,2.6,1619097181.50,3.961230831,0.318570873,5.00,,,-86.6040797,36.0001467,,,0,0,0,0,1.420832757,25520.21916,-25445.91916,294.8689654,West,TRUE
9322,2.7,1619097181.60,4.050695204,0.30209131,5.00,,,-86.6040805,36.000147,,,0,0,0,0,1.500154879,25520.29848,-25445.99848,307.6876634,West,TRUE
9323,2.8,1619097181.70,4.120176131,0.284780929,5.00,,,-86.6040813,36.0001475,,,0,0,0,0,1.591096005,25520.38942,-25446.08942,311.4415219,West,TRUE
9324,2.9,1619097181.80,4.189340102,0.266690909,5.00,,,-86.604082,36.000148,,,0,0,0,0,1.675098453,25520.47342,-25446.17342,307.6876625,West,TRUE
9325,3.0,1619097181.90,4.25455409,0.247921461,5.00,,,-86.6040828,36.0001485,,,0,0,0,0,1.766039581,25520.56436,-25446.26436,313.8722182,West,TRUE
9326,3.1,1619097182.00,4.308340215,0.228624285,5.00,,,-86.6040837,36.0001492,,,0,0,0,0,1.878349203,25520.67667,-25446.37667,306.5621915,West,TRUE
9327,3.2,1619097182.10,4.377643759,0.208999021,5.00,,,-86.6040847,36.0001498,,,0,0,0,0,1.990347723,25520.78867,-25446.48867,317.2438657,West,TRUE
9328,3.3,1619097182.20,4.432083758,0.189290762,5.00,,,-86.6040855,36.0001505,,,0,0,0,0,2.096355851,25520.89468,-25446.59468,307.6876632,West,TRUE
9329,3.4,1619097182.30,4.480352921,0.169779737,5.00,,,-86.6040863,36.000151,,,0,0,0,0,2.187296976,25520.98562,-25446.68562,310.8679735,West,TRUE
